paper_id,paper_title,paper_url,authors
39b07ceec72bfee5a6a4626a44de3c2e8828e268,Computer Architecture: A Quantitative Approach,https://www.semanticscholar.org/paper/Computer-Architecture%3A-A-Quantitative-Approach-Patterson-Hennessy/39b07ceec72bfee5a6a4626a44de3c2e8828e268,"[""D. Patterson"", ""J. Hennessy""]"
23ffaa0fe06eae05817f527a47ac3291077f9e58,Rethinking the Inception Architecture for Computer Vision,https://www.semanticscholar.org/paper/Rethinking-the-Inception-Architecture-for-Computer-Szegedy-Vanhoucke/23ffaa0fe06eae05817f527a47ac3291077f9e58,"[""Christian Szegedy"", ""Vincent Vanhoucke"", ""Sergey Ioffe"", ""Jonathon Shlens"", ""Z. Wojna""]"
bd3d145d79a45bcf99d92bdbc475ed6a629f318a,A Survey of Memory-Centric Energy Efficient Computer Architecture,https://www.semanticscholar.org/paper/A-Survey-of-Memory-Centric-Energy-Efficient-Zhang-Sun/bd3d145d79a45bcf99d92bdbc475ed6a629f318a,"[""Changwu Zhang"", ""Hao Sun"", ""Shuman Li"", ""Yao Wang"", ""Haiyan Chen"", ""Hengzhu Liu""]"
acbd6dd44d021d5a11a404375257c59eff0ec183,Supply Chain Aware Computer Architecture,https://www.semanticscholar.org/paper/Supply-Chain-Aware-Computer-Architecture-Ning-Tziantzioulis/acbd6dd44d021d5a11a404375257c59eff0ec183,"[""August Ning"", ""Georgios Tziantzioulis"", ""D. Wentzlaff""]"
71b676fdf3ee3eec9c11089a957e55749a8334d5,A Survey of Machine Learning for Computer Architecture and Systems,https://www.semanticscholar.org/paper/A-Survey-of-Machine-Learning-for-Computer-and-Wu-Xie/71b676fdf3ee3eec9c11089a957e55749a8334d5,"[""Nan Wu"", ""Yuan Xie""]"
937229089e239bae8cec46db12bb5cd170dd7764,Demonstration of the trapped-ion quantum CCD computer architecture,https://www.semanticscholar.org/paper/Demonstration-of-the-trapped-ion-quantum-CCD-Pino-Dreiling/937229089e239bae8cec46db12bb5cd170dd7764,"[""Juan Pino"", ""J. Dreiling"", ""B. Neyenhuis""]"
d88af0f7552d738bffce9815ee3e43901ea86067,A First-Order Model to Assess Computer Architecture Sustainability,https://www.semanticscholar.org/paper/A-First-Order-Model-to-Assess-Computer-Architecture-Eeckhout/d88af0f7552d738bffce9815ee3e43901ea86067,"[""L. Eeckhout""]"
a3967f1a6f2bc027c18538f3c3fc3cdc09c5d298,A new golden age for computer architecture,https://www.semanticscholar.org/paper/A-new-golden-age-for-computer-architecture-Hennessy-Patterson/a3967f1a6f2bc027c18538f3c3fc3cdc09c5d298,"[""J. Hennessy"", ""D. Patterson""]"
838cc3cc4cfc27b4df2f4e49829bf59f858fbf69,Ripes: A Visual Computer Architecture Simulator,https://www.semanticscholar.org/paper/Ripes%3A-A-Visual-Computer-Architecture-Simulator-Petersen/838cc3cc4cfc27b4df2f4e49829bf59f858fbf69,"[""Morten B. Petersen""]"
38d7619976df493ccf7b97a564a5d7b4bc60f361,A Survey of Computer Architecture Simulation Techniques and Tools,https://www.semanticscholar.org/paper/A-Survey-of-Computer-Architecture-Simulation-and-Akram-Sawalha/38d7619976df493ccf7b97a564a5d7b4bc60f361,"[""Ayaz Akram"", ""L. Sawalha""]"
db9b6d8cada35c117cd0729ae5843f3068fbe5b4,Demonstration of the QCCD trapped-ion quantum computer architecture,https://www.semanticscholar.org/paper/Demonstration-of-the-QCCD-trapped-ion-quantum-Moses-Pino/db9b6d8cada35c117cd0729ae5843f3068fbe5b4,"[""S. Moses"", ""J. Pino"", ""B. Neyenhuis""]"
f37463d0e62a20c392585c90aa98bd811fa2f6a3,Quantum Computer Architecture: Towards Full-Stack Quantum Accelerators,https://www.semanticscholar.org/paper/Quantum-Computer-Architecture%3A-Towards-Full-Stack-Bertels-Sarkar/f37463d0e62a20c392585c90aa98bd811fa2f6a3,"[""K. Bertels"", ""A. Sarkar"", ""I. Ashraf""]"
